Iteration,Method,Cache Hit Rate (%),Latency Reduction (%),Cache Usage (KB),Max Cache Size (KB)
1,LRU,99.2,6.543624,27320.0,28315.8
1,LFU,99.6,4.395973,28150.0,28315.8
1,Greedy Knapsack,99.6,4.395973,28150.0,28315.8
1,SGD-Based,99.2,6.543624,27320.0,28315.8
2,LRU,99.6,3.354779,23485.0,25036.0
2,LFU,99.6,3.354779,23485.0,25036.0
2,Greedy Knapsack,99.6,3.354779,23485.0,25036.0
2,SGD-Based,99.6,3.354779,23485.0,25036.0
3,LRU,99.2,5.91427,12917.0,14708.8
3,LFU,100.0,0.0,14706.0,14708.8
3,Greedy Knapsack,100.0,0.0,14706.0,14708.8
3,SGD-Based,99.2,5.91427,12917.0,14708.8
4,LRU,99.6,4.939294,14298.0,22823.5
4,LFU,99.6,4.939294,14298.0,22823.5
4,Greedy Knapsack,99.6,4.939294,14298.0,22823.5
4,SGD-Based,99.6,4.939294,14298.0,22823.5
5,LRU,99.2,3.62945,28617.0,30830.9
5,LFU,99.2,3.62945,28617.0,30830.9
5,Greedy Knapsack,99.2,3.62945,28617.0,30830.9
5,SGD-Based,99.2,3.62945,28617.0,30830.9
6,LRU,98.8,9.025097,22939.0,25281.5
6,LFU,98.8,7.046332,25279.0,25281.5
6,Greedy Knapsack,99.2,6.177606,21272.0,25281.5
6,SGD-Based,98.8,9.025097,22939.0,25281.5
7,LRU,99.2,4.423077,23265.0,24810.4
7,LFU,99.6,2.764423,23288.0,24810.4
7,Greedy Knapsack,99.6,2.764423,23288.0,24810.4
7,SGD-Based,99.2,4.423077,23265.0,24810.4
8,LRU,99.6,3.737226,21708.0,28418.6
8,LFU,99.6,3.737226,21708.0,28418.6
8,Greedy Knapsack,99.6,3.737226,21708.0,28418.6
8,SGD-Based,99.6,3.737226,21708.0,28418.6
9,LRU,98.8,9.68676,16143.0,23163.0
9,LFU,99.2,6.68597,19971.0,23163.0
9,Greedy Knapsack,99.2,6.68597,19971.0,23163.0
9,SGD-Based,98.8,9.68676,16143.0,23163.0
10,LRU,99.6,6.963788,30583.0,31022.4
10,LFU,99.6,6.963788,30583.0,31022.4
10,Greedy Knapsack,99.6,6.963788,30583.0,31022.4
10,SGD-Based,99.6,6.963788,30583.0,31022.4
11,LRU,91.2,13.659872,18314.0,18314.8
11,LFU,99.2,7.240645,18314.0,18314.8
